,MIDI Note,Note,Octave,time,value
489797,69,A,5,3826,0.12015439560444562
489800,72,C,6,3826,0.13658945610498374
489801,73,C#,6,3826,0.23412943909259964
489802,74,D,6,3826,0.45345553347053696
489803,75,D#,6,3826,0.5218128241343671
489804,76,E,6,3826,0.22834028057390543
489911,55,G,4,3827,0.10828755124307976
489912,56,G#,4,3827,0.13321680911832628
489913,57,A,4,3827,0.11842143724983133
489918,62,D,5,3827,0.10334660658158076
489921,65,F,5,3827,0.10720751218744916
489922,66,F#,5,3827,0.15393891872855
489924,68,G#,5,3827,0.23130539991092494
489925,69,A,5,3827,0.20395937087060176
489926,70,A#,5,3827,0.10943218214864828
489927,71,B,5,3827,0.22190229130102346
489928,72,C,6,3827,0.21994278050907745
489929,73,C#,6,3827,0.1770944490024393
489931,75,D#,6,3827,0.12907657273285172
489932,76,E,6,3827,0.17021998509200578
489956,100,E,8,3827,0.13443555780341143
489957,101,F,8,3827,0.10981071560472631
489959,103,G,8,3827,0.15073598151091655
489960,104,G#,8,3827,0.13295946995957875
490050,66,F#,5,3828,0.1321197053546744
490053,69,A,5,3828,0.14934811701767856
490055,71,B,5,3828,0.15476775478528243
490056,72,C,6,3828,0.28474553836209754
490057,73,C#,6,3828,0.12534162802840212
490084,100,E,8,3828,0.13430240922026163
490085,101,F,8,3828,0.12617939108091444
490086,102,F#,8,3828,0.10217336896573634
490179,67,G,5,3829,0.12161419009929963
490183,71,B,5,3829,0.11337498702265252
490184,72,C,6,3829,0.23370942589889543
490185,73,C#,6,3829,0.27470351243018376
490186,74,D,6,3829,0.20012599859507973
490307,67,G,5,3830,0.12054413700199527
490308,68,G#,5,3830,0.10721189365862496
490340,100,E,8,3830,0.14338598809039574
490341,101,F,8,3830,0.10501520903989658
490685,61,C#,5,3833,0.18043083728078282
490686,62,D,5,3833,0.13619890444841373
490694,70,A#,5,3833,0.13510031631246358
490695,71,B,5,3833,0.1415406571031695
490696,72,C,6,3833,0.12415421728225405
490697,73,C#,6,3833,0.11869897784159242
490812,60,C,5,3834,0.1281875266350983
490813,61,C#,5,3834,0.18701465263343892
490814,62,D,5,3834,0.22802262370343288
490815,63,D#,5,3834,0.1613186218216078
490823,71,B,5,3834,0.17882272587025475
490824,72,C,6,3834,0.137673796342361
490942,62,D,5,3835,0.11729401741195249
490943,63,D#,5,3835,0.10112342077172069
491326,62,D,5,3838,0.12258201362127753
491327,63,D#,5,3838,0.11338466885432616
491454,62,D,5,3839,0.11075273328357231
491710,62,D,5,3841,0.10219084285397277
491745,97,C#,8,3841,0.11549809345851371
491746,98,D,8,3841,0.17555712939448456
491747,99,D#,8,3841,0.13743728985606166
491845,69,A,5,3842,0.14093080399657365
491874,98,D,8,3842,0.117125723848077
491976,72,C,6,3843,0.12633471797277304
492224,64,E,5,3845,0.11058637559933457
492225,65,F,5,3845,0.10380998685571916
492245,85,C#,7,3845,0.11536183703156352
492246,86,D,7,3845,0.11416313076319953
492353,65,F,5,3846,0.11323336628506525
492533,117,A,9,3847,0.10585727373703491
492658,114,F#,9,3848,0.10343235282761419
492659,115,G,9,3848,0.2425015192904837
492660,116,G#,9,3848,0.28426641683233084
492661,117,A,9,3848,0.2522876005487696
492662,118,A#,9,3848,0.100935544193667
492663,119,B,9,3848,0.15078368887970356
492784,112,E,9,3849,0.13690115947333076
492786,114,F#,9,3849,0.1146664867980027
492787,115,G,9,3849,0.17165530855705527
492788,116,G#,9,3849,0.20137262807824044
492790,118,A#,9,3849,0.2754333506818645
492792,120,C,10,3849,0.15927832918168428
492797,125,F,10,3849,0.1509166215049075
492798,126,F#,10,3849,0.1274313481564459
493387,75,D#,6,3854,0.1336688032501764
493388,76,E,6,3854,0.13253686626012565
493389,77,F,6,3854,0.1361581125527601
493517,77,F,6,3855,0.12097544943207154
493518,78,F#,6,3855,0.28588370735094276
493519,79,G,6,3855,0.19155278291752265
493531,91,G,7,3855,0.11229587649786242
493532,92,G#,7,3855,0.22768403987015126
493533,93,A,7,3855,0.2053412784238493
493535,95,B,7,3855,0.10992199676958385
493645,77,F,6,3856,0.22181489859263445
493646,78,F#,6,3856,0.4774935419705376
493647,79,G,6,3856,0.26086808123191524
493661,93,A,7,3856,0.11558930141305654
493662,94,A#,7,3856,0.18659767882528422
493663,95,B,7,3856,0.29804651212458205
493664,96,C,8,3856,0.1448575777855386
493665,97,C#,8,3856,0.1315388893290952
493666,98,D,8,3856,0.1677897459707507
493667,99,D#,8,3856,0.14496879679998986
493669,101,F,8,3856,0.11380497896158209
493768,72,C,6,3857,0.10220486022810829
493773,77,F,6,3857,0.13957433785578827
493775,79,G,6,3857,0.5866885664037476
493776,80,G#,6,3857,0.5712481751669924
493777,81,A,6,3857,0.29430769732581713
493778,82,A#,6,3857,0.14150846552048288
493779,83,B,6,3857,0.13452602728412966
493780,84,C,7,3857,0.13272517521200763
493786,90,F#,7,3857,0.1181304268653997
493789,93,A,7,3857,0.1240466303673633
493792,96,C,8,3857,0.19336508104224734
493793,97,C#,8,3857,0.16875487043460866
493794,98,D,8,3857,0.10905309910096032
493886,62,D,5,3858,0.10824352567313945
493889,65,F,5,3858,0.11842041653658576
493898,74,D,6,3858,0.11095203261869063
493903,79,G,6,3858,0.13175588461465287
493907,83,B,6,3858,0.3034309104014384
493908,84,C,7,3858,0.6638105054682559
493909,85,C#,7,3858,0.43827197343855756
493911,87,D#,7,3858,0.19629380261964965
493912,88,E,7,3858,0.15521424322862104
493919,95,B,7,3858,0.1622067285265425
493920,96,C,8,3858,0.14145316662202465
493921,97,C#,8,3858,0.10595642923702658
494038,86,D,7,3859,0.10377674019028744
494039,87,D#,7,3859,0.21441170379666274
494040,88,E,7,3859,0.47546586897567217
494041,89,F,7,3859,0.27601381929524216
494043,91,G,7,3859,0.25544792029292085
494044,92,G#,7,3859,0.21940828921922448
494045,93,A,7,3859,0.23776396849384598
494046,94,A#,7,3859,0.22225336855772515
494047,95,B,7,3859,0.17608774406352382
494048,96,C,8,3859,0.1766688880422917
494049,97,C#,8,3859,0.13419789023422146
494159,79,G,6,3860,0.1594596934354171
494160,80,G#,6,3860,0.14793282913950417
494164,84,C,7,3860,0.2097219687033805
494165,85,C#,7,3860,0.2667983870019199
494166,86,D,7,3860,0.13733795013982547
494167,87,D#,7,3860,0.13005805161658138
494168,88,E,7,3860,0.4737392922837196
494169,89,F,7,3860,0.4730233526433845
494170,90,F#,7,3860,0.21879860879504093
494171,91,G,7,3860,0.28800537471057
494172,92,G#,7,3860,0.253602001785739
494173,93,A,7,3860,0.25653405491103054
494174,94,A#,7,3860,0.30284980035502795
494176,96,C,8,3860,0.2592473354064216
494177,97,C#,8,3860,0.205896785865367
494288,80,G#,6,3861,0.14468079358938454
494289,81,A,6,3861,0.10341503548392712
494292,84,C,7,3861,0.18661349706081992
494293,85,C#,7,3861,0.29908112429090156
494294,86,D,7,3861,0.35752780000125767
494295,87,D#,7,3861,0.46182575141118754
494296,88,E,7,3861,0.3953958193919212
494297,89,F,7,3861,0.5581172841881783
494298,90,F#,7,3861,0.39212108690535225
494300,92,G#,7,3861,0.2549155325286595
494301,93,A,7,3861,0.24964018268899105
494302,94,A#,7,3861,0.14423037574814926
494303,95,B,7,3861,0.2810850756485168
494304,96,C,8,3861,0.14827547366575183
494306,98,D,8,3861,0.10525071289448448
494416,80,G#,6,3862,0.13355054654506082
494417,81,A,6,3862,0.11478201015857252
494420,84,C,7,3862,0.21560360602990086
494421,85,C#,7,3862,0.5669949175483804
494422,86,D,7,3862,0.502144432242724
494423,87,D#,7,3862,0.16265870535918353
494425,89,F,7,3862,0.27457221033920876
494426,90,F#,7,3862,0.23738011496015882
494428,92,G#,7,3862,0.30736909979980465
494429,93,A,7,3862,0.27272121453792364
494431,95,B,7,3862,0.294904649246682
494432,96,C,8,3862,0.27906820810376004
494433,97,C#,8,3862,0.13026096347469948
494544,80,G#,6,3863,0.12343859460980397
494545,81,A,6,3863,0.16298997219710373
494548,84,C,7,3863,0.10667471302957658
494549,85,C#,7,3863,0.40123403508242267
494550,86,D,7,3863,0.23551675678912293
494551,87,D#,7,3863,0.2798263212791913
494552,88,E,7,3863,0.21838349770760063
494553,89,F,7,3863,0.11184159036671339
494554,90,F#,7,3863,0.10661119200220466
494555,91,G,7,3863,0.12910373476193537
494556,92,G#,7,3863,0.12031808534196047
494557,93,A,7,3863,0.30244473372499653
494558,94,A#,7,3863,0.536730040895652
494559,95,B,7,3863,0.5135128756861582
494560,96,C,8,3863,0.24973234964234758
494673,81,A,6,3864,0.14076443479985787
494677,85,C#,7,3864,0.28362845781111873
494678,86,D,7,3864,0.6667794921613739
494679,87,D#,7,3864,0.5775931170637701
494680,88,E,7,3864,0.2945426181600261
494681,89,F,7,3864,0.17922201929693435
494682,90,F#,7,3864,0.24957520133690209
494683,91,G,7,3864,0.1675322411327905
494684,92,G#,7,3864,0.10616503474819923
494685,93,A,7,3864,0.27848117864597105
494686,94,A#,7,3864,0.2296655467753831
494688,96,C,8,3864,0.1484354241884476
494689,97,C#,8,3864,0.10873274319965756
494791,71,B,5,3865,0.13701630424650696
494792,72,C,6,3865,0.18047080203363491
494793,73,C#,6,3865,0.12028993618714387
494806,86,D,7,3865,0.3501868916048298
494807,87,D#,7,3865,0.3179516590391806
494813,93,A,7,3865,0.2554937575252399
494814,94,A#,7,3865,0.21060681030297912
494815,95,B,7,3865,0.10313635116576826
494816,96,C,8,3865,0.10307077972067884
494919,71,B,5,3866,0.10950825073775249
494920,72,C,6,3866,0.11860710355367265
494933,85,C#,7,3866,0.18704160872151665
494934,86,D,7,3866,0.336036517273632
494935,87,D#,7,3866,0.5542461939032404
494936,88,E,7,3866,0.352943166692864
494942,94,A#,7,3866,0.15565833630375644
494943,95,B,7,3866,0.16423148602338716
495047,71,B,5,3867,0.1446316293483459
495048,72,C,6,3867,0.22294090399162939
495049,73,C#,6,3867,0.11942295794112036
495062,86,D,7,3867,0.20908211843169866
495063,87,D#,7,3867,0.5165022992160622
495064,88,E,7,3867,0.38179041983715195
495067,91,G,7,3867,0.12445808776653432
495070,94,A#,7,3867,0.13813582778224948
495071,95,B,7,3867,0.1026228262070043
495144,40,E,3,3868,0.10093565832184846
495168,64,E,5,3868,0.127410306956712
495175,71,B,5,3868,0.12426094309313584
495176,72,C,6,3868,0.15462641701234764
495177,73,C#,6,3868,0.14520590234397981
495180,76,E,6,3868,0.10643767915253781
495192,88,E,7,3868,0.18508597075163888
495193,89,F,7,3868,0.1486394928782768
495196,92,G#,7,3868,0.21960960091615667
495197,93,A,7,3868,0.19062842354202622
495198,94,A#,7,3868,0.12342182428904763
495199,95,B,7,3868,0.10952874229944495
495268,36,C,3,3869,0.10776822927844067
495269,37,C#,3,3869,0.12906056205560074
