,MIDI Note,Note,Octave,time,value
1244630,86,D,7,9723,0.11148549569182271
1244631,87,D#,7,9723,0.17936278878419293
1244643,99,D#,8,9723,0.30597067035873815
1244644,100,E,8,9723,0.24970948864468143
1244647,103,G,8,9723,0.16959014972490047
1244648,104,G#,8,9723,0.1103888613182225
1244653,109,C#,9,9723,0.1380902422304121
1244771,99,D#,8,9724,0.1353029980558679
1244772,100,E,8,9724,0.1027557133022561
1244775,103,G,8,9724,0.10679696804479702
1245259,75,D#,6,9728,0.14944986003577593
1245260,76,E,6,9728,0.30926314929174015
1245261,77,F,6,9728,0.23427920267498875
1245271,87,D#,7,9728,0.11924672054738297
1245272,88,E,7,9728,0.12661230927183048
1245283,99,D#,8,9728,0.12892276261149657
1245284,100,E,8,9728,0.12355700920486078
1245293,109,C#,9,9728,0.12048992425846838
1245387,75,D#,6,9729,0.16331498881492815
1245388,76,E,6,9729,0.4681077268195706
1245389,77,F,6,9729,0.5124797055531861
1245390,78,F#,6,9729,0.39246927905901235
1245399,87,D#,7,9729,0.16514997777110793
1245400,88,E,7,9729,0.23179618541828642
1245401,89,F,7,9729,0.11327359753395921
1245407,95,B,7,9729,0.11246418634042972
1245408,96,C,8,9729,0.1364084367104106
1245409,97,C#,8,9729,0.16934054794623327
1245514,74,D,6,9730,0.10010622669685003
1245515,75,D#,6,9730,0.1108741968004973
1245517,77,F,6,9730,0.31298602263865744
1245518,78,F#,6,9730,0.31397575570255337
1245519,79,G,6,9730,0.13989346715201312
1245520,80,G#,6,9730,0.41939933654198774
1245521,81,A,6,9730,0.3265669486681166
1245522,82,A#,6,9730,0.19953132240743326
1245523,83,B,6,9730,0.14490511979725612
1245644,76,E,6,9731,0.11087760664013392
1245645,77,F,6,9731,0.1481061511095141
1247437,77,F,6,9745,0.11218492002406515
1247438,78,F#,6,9745,0.17584727361705074
1247439,79,G,6,9745,0.16105101407179762
1247565,77,F,6,9746,0.21851796679486027
1247566,78,F#,6,9746,0.4075795578390228
1247567,79,G,6,9746,0.3069904484343055
1247568,80,G#,6,9746,0.20993693382165377
1247654,38,D,3,9747,0.10034230865939316
1247692,76,E,6,9747,0.3040217950074286
1247693,77,F,6,9747,0.6006110361957188
1247694,78,F#,6,9747,0.3950768279044454
1247695,79,G,6,9747,0.12236860991674796
1247782,38,D,3,9748,0.10841659742555518
1247820,76,E,6,9748,0.41990343567301797
1247821,77,F,6,9748,0.42414283903047506
1247822,78,F#,6,9748,0.11432982995061527
1247832,88,E,7,9748,0.2127148141520849
1247833,89,F,7,9748,0.19815957491482866
1247839,95,B,7,9748,0.15088155779648502
1247840,96,C,8,9748,0.15216454899869195
1247910,38,D,3,9749,0.11361298148473176
1247946,74,D,6,9749,0.1660739451253973
1247947,75,D#,6,9749,0.3430551747587872
1247948,76,E,6,9749,0.6933170714151867
1247949,77,F,6,9749,0.5816172435853655
1247950,78,F#,6,9749,0.16572522445464596
1247960,88,E,7,9749,0.2354793541063867
1247961,89,F,7,9749,0.19817980838229526
1247967,95,B,7,9749,0.16892678905145486
1247968,96,C,8,9749,0.13689501568927276
1247972,100,E,8,9749,0.1432323212885843
1247973,101,F,8,9749,0.10673725268897237
1248036,36,C,3,9750,0.1013481818739882
1248038,38,D,3,9750,0.12053819013551435
1248039,39,D#,3,9750,0.11910889046635237
1248073,73,C#,6,9750,0.2611517142906826
1248074,74,D,6,9750,0.5019072299615112
1248075,75,D#,6,9750,0.31551547233105304
1248076,76,E,6,9750,0.11984055835614897
1248077,77,F,6,9750,0.20754503710738145
1248092,92,G#,7,9750,0.12693351198621006
1248093,93,A,7,9750,0.39092463436316116
1248094,94,A#,7,9750,0.31702846710967625
1248098,98,D,8,9750,0.11441859267635539
1248164,36,C,3,9751,0.10787708484523544
1248166,38,D,3,9751,0.13221232082778656
1248167,39,D#,3,9751,0.1651973544207259
1248168,40,E,3,9751,0.15098041350640248
1248181,53,F,4,9751,0.1229764728503289
1248182,54,F#,4,9751,0.1489895443651759
1248200,72,C,6,9751,0.1075335618203396
1248201,73,C#,6,9751,0.48786633185532624
1248202,74,D,6,9751,0.5504462924161978
1248203,75,D#,6,9751,0.19195305701480098
1248204,76,E,6,9751,0.103055536503025
1248205,77,F,6,9751,0.11355790216619743
1248221,93,A,7,9751,0.11341857813791557
1248292,36,C,3,9752,0.10921228803095452
1248294,38,D,3,9752,0.146128116590583
1248295,39,D#,3,9752,0.19376795188336077
1248296,40,E,3,9752,0.2003569585255521
