,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,octave,note_value,note_value_nmd,note_name,angle
3579,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,5760,15.0,192,5.0,0.0,0,C,0
10418,8.0,,,,67.0,,,,,52,note_on,,88.0,67.0,88.0,5808,15.125,192,5.0,7.0,1,C#,210
10040,3.0,,,,67.0,,,,,52,note_on,,88.0,67.0,88.0,5808,15.125,192,5.0,7.0,1,C#,210
3585,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,5856,15.25,192,5.0,0.0,0,C,0
127,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5856,15.25,192,2.0,11.0,5,F,330
126,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5856,15.25,192,3.0,6.0,6,F#,180
3583,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,5856,15.25,192,5.0,4.0,4,E,120
3584,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,5856,15.25,192,4.0,7.0,1,C#,210
10420,8.0,,,,72.0,,,,,52,note_on,,44.0,72.0,44.0,5904,15.375,192,6.0,0.0,0,C,0
10042,3.0,,,,72.0,,,,,52,note_on,,44.0,72.0,44.0,5904,15.375,192,6.0,0.0,0,C,0
3589,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,5952,15.5,192,4.0,7.0,1,C#,210
3590,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,5952,15.5,192,5.0,4.0,4,E,120
130,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5952,15.5,192,3.0,6.0,6,F#,180
131,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5952,15.5,192,3.0,4.0,4,E,120
132,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5952,15.5,192,4.0,3.0,9,A,90
3591,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,5952,15.5,192,5.0,0.0,0,C,0
10044,3.0,,,,67.0,,,,,52,note_on,,44.0,67.0,44.0,6000,15.625,192,5.0,7.0,1,C#,210
10422,8.0,,,,67.0,,,,,52,note_on,,44.0,67.0,44.0,6000,15.625,192,5.0,7.0,1,C#,210
3596,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,6048,15.75,192,5.0,4.0,4,E,120
3597,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,6048,15.75,192,4.0,7.0,1,C#,210
136,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6048,15.75,192,3.0,6.0,6,F#,180
3595,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,6048,15.75,192,5.0,0.0,0,C,0
137,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,6048,15.75,192,4.0,3.0,9,A,90
10424,8.0,,,,72.0,,,,,52,note_on,,22.0,72.0,22.0,6096,15.875,192,6.0,0.0,0,C,0
10046,3.0,,,,72.0,,,,,52,note_on,,22.0,72.0,22.0,6096,15.875,192,6.0,0.0,0,C,0
3601,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,6144,16.0,192,4.0,11.0,5,F,330
3603,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,6144,16.0,192,4.0,7.0,1,C#,210
3602,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6144,16.0,192,5.0,2.0,2,D,60
10426,8.0,,,,67.0,,,,,52,note_on,,22.0,67.0,22.0,6192,16.125,192,5.0,7.0,1,C#,210
10048,3.0,,,,67.0,,,,,52,note_on,,22.0,67.0,22.0,6192,16.125,192,5.0,7.0,1,C#,210
3609,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,6240,16.25,192,4.0,11.0,5,F,330
3608,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6240,16.25,192,5.0,2.0,2,D,60
3607,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,6240,16.25,192,4.0,7.0,1,C#,210
3615,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,6336,16.5,192,4.0,11.0,5,F,330
3614,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6336,16.5,192,5.0,2.0,2,D,60
3613,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,6336,16.5,192,4.0,7.0,1,C#,210
8318,7.0,,,,83.0,,,,,6392,note_on,,112.0,83.0,112.0,6392,16.645833333333332,192,6.0,11.0,5,F,330
8319,7.0,,,,79.0,,,,,32,note_on,,112.0,79.0,112.0,6424,16.729166666666664,192,6.0,7.0,1,C#,210
3621,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,6432,16.75,192,4.0,7.0,1,C#,210
3620,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,6432,16.75,192,4.0,11.0,5,F,330
3619,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,6432,16.75,192,5.0,2.0,2,D,60
140,9.0,,,,40.0,,,,,436,note_on,,112.0,40.0,112.0,6528,17.0,192,3.0,4.0,4,E,120
3626,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,6528,17.0,192,4.0,7.0,1,C#,210
3625,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,6528,17.0,192,4.0,11.0,5,F,330
3627,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6528,17.0,192,5.0,2.0,2,D,60
8322,7.0,,,,83.0,,,,,24,note_on,,112.0,83.0,112.0,6536,17.020833333333332,192,6.0,11.0,5,F,330
142,9.0,,,,48.0,,,,,4,note_on,,112.0,48.0,112.0,6576,17.125,192,4.0,0.0,0,C,0
3633,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6624,17.25,192,5.0,2.0,2,D,60
3632,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,6624,17.25,192,4.0,7.0,1,C#,210
3631,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,6624,17.25,192,4.0,11.0,5,F,330
8324,7.0,,,,79.0,,,,,8,note_on,,112.0,79.0,112.0,6632,17.270833333333332,192,6.0,7.0,1,C#,210
144,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,6672,17.375,192,3.0,4.0,4,E,120
3639,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,6720,17.5,192,4.0,11.0,5,F,330
3638,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6720,17.5,192,5.0,2.0,2,D,60
3637,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,6720,17.5,192,4.0,7.0,1,C#,210
