,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
3441,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,33120,34.5,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3442,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,33120,34.5,480,9.0_8.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3445,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,33600,35.0,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3446,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,33600,35.0,480,9.0_8.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2336,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,33600,35.0,480,4.0_8.0,Electric Bass (pick),2.0,11.0,5,F,330
3450,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,34080,35.5,480,9.0_8.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3449,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,34080,35.5,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3453,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,34560,36.0,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3454,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,34560,36.0,480,9.0_9.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2338,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,34560,36.0,480,4.0_9.0,Electric Bass (pick),3.0,4.0,4,E,120
3458,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,35040,36.5,480,9.0_9.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3457,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,35040,36.5,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2340,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,35280,36.75,480,4.0_9.0,Electric Bass (pick),3.0,4.0,4,E,120
2342,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,35520,37.0,480,4.0_9.0,Electric Bass (pick),3.0,7.0,1,C#,210
3462,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,35520,37.0,480,9.0_9.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3461,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,35520,37.0,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2344,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,35880,37.375,480,4.0_9.0,Electric Bass (pick),3.0,4.0,4,E,120
3466,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,36000,37.5,480,9.0_9.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3465,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,36000,37.5,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2346,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,36240,37.75,480,4.0_9.0,Electric Bass (pick),3.0,2.0,2,D,60
2348,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,36480,38.0,480,4.0_9.0,Electric Bass (pick),3.0,0.0,0,C,0
3470,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,36480,38.0,480,9.0_9.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3469,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,36480,38.0,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3474,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,36960,38.5,480,9.0_9.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3473,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,36960,38.5,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3477,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,37440,39.0,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2350,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,37440,39.0,480,4.0_9.0,Electric Bass (pick),2.0,11.0,5,F,330
3478,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,37440,39.0,480,9.0_9.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3482,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,37920,39.5,480,9.0_9.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3481,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,37920,39.5,480,9.0_9.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3486,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,38400,40.0,480,9.0_10.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3485,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,38400,40.0,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
