,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
282,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1235,1.2864583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
464,0.0,,,,,,,,,,,,71.0,,,,,,,20,note_on,,60.0,71.0,60.0,1255,1.3072916666666667,480,0.0_0.0,Flute,5.0,11.0,5,F,330
714,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,1270,1.3229166666666667,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
286,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,1275,1.328125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
470,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,1285,1.3385416666666667,480,0.0_0.0,Flute,6.0,0.0,0,C,0
302,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,1290,1.34375,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
737,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,1310,1.3645833333333333,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
738,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1310,1.3645833333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
476,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,1325,1.3802083333333333,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
748,14.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,1350,1.40625,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
758,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,1350,1.40625,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
785,14.0,,,,,,,,,,,,43.0,,,,,,,0,note_on,,60.0,43.0,60.0,1350,1.40625,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
786,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1350,1.40625,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
