,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
141,1.0,,,,,,,48.0,,,,40,note_on,,98.0,48.0,98.0,1144,1.4895833333333333,384,1.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
196,2.0,,,,,,,47.0,,,,6,note_on,,102.0,47.0,102.0,1154,1.5026041666666665,384,2.0_0.0,Acoustic Grand Piano,3.0,11.0,5,F,330
199,2.0,,,,,,,48.0,,,,20,note_on,,110.0,48.0,110.0,1174,1.5286458333333333,384,2.0_0.0,Acoustic Grand Piano,4.0,0.0,0,C,0
145,1.0,,,,,,,50.0,,,,28,note_on,,106.0,50.0,106.0,1266,1.6484375,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
204,2.0,,,,,,,50.0,,,,8,note_on,,107.0,50.0,107.0,1356,1.765625,384,2.0_0.0,Acoustic Grand Piano,4.0,2.0,2,D,60
207,2.0,,,,,,,52.0,,,,14,note_on,,97.0,52.0,97.0,1370,1.7838541666666665,384,2.0_0.0,Acoustic Grand Piano,4.0,4.0,4,E,120
364,3.0,,,,,,,71.0,,,,422,note_on,,127.0,71.0,127.0,1370,1.7838541666666665,384,3.0_0.0,Trumpet,5.0,11.0,5,F,330
389,3.0,,,,,,,69.0,,,,2,note_on,,115.0,69.0,115.0,1372,1.7864583333333333,384,3.0_0.0,Trumpet,5.0,9.0,3,D#,270
445,3.0,,,,,,,71.0,,,,0,note_on,,127.0,71.0,127.0,1410,1.8359375,384,3.0_0.0,Trumpet,5.0,11.0,5,F,330
185,1.0,,,,,,,38.0,,,,62,note_on,,127.0,38.0,127.0,1446,1.8828125,384,1.0_0.0,Acoustic Bass,3.0,2.0,2,D,60
300,9.0,,,,,,,44.0,,,,334,note_on,,101.0,44.0,101.0,1448,1.8854166666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
309,9.0,,,,,,,39.0,,,,14,note_on,,85.0,39.0,85.0,1466,1.9088541666666665,384,9.0_0.0,Violin,3.0,3.0,9,A,90
188,1.0,,,,,,,45.0,,,,2,note_on,,106.0,45.0,106.0,1556,2.0260416666666665,384,1.0_0.0,Acoustic Bass,3.0,9.0,3,D#,270
461,3.0,,,,,,,69.0,,,,4,note_on,,116.0,69.0,116.0,1568,2.0416666666666665,384,3.0_0.0,Trumpet,5.0,9.0,3,D#,270
213,2.0,,,,,,,48.0,,,,22,note_on,,99.0,48.0,99.0,1596,2.078125,384,2.0_0.0,Acoustic Grand Piano,4.0,0.0,0,C,0
218,2.0,,,,,,,50.0,,,,0,note_on,,106.0,50.0,106.0,1608,2.09375,384,2.0_0.0,Acoustic Grand Piano,4.0,2.0,2,D,60
524,3.0,,,,,,,71.0,,,,20,note_on,,127.0,71.0,127.0,1674,2.1796875,384,3.0_0.0,Trumpet,5.0,11.0,5,F,330
541,3.0,,,,,,,69.0,,,,2,note_on,,116.0,69.0,116.0,1684,2.192708333333333,384,3.0_0.0,Trumpet,5.0,9.0,3,D#,270
195,1.0,,,,,,,47.0,,,,34,note_on,,103.0,47.0,103.0,1732,2.255208333333333,384,1.0_0.0,Acoustic Bass,3.0,11.0,5,F,330
