,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
8726,5.0,,,,,,,79.0,,,,60,note_on,,0.0,79.0,0.0,10323,43.0125,120,5.0_10.0,Electric Guitar (jazz)
8727,5.0,,,,,,,76.0,,,,0,note_on,,77.0,76.0,77.0,10323,43.0125,120,5.0_10.0,Electric Guitar (jazz)
8728,5.0,,,,,,,76.0,,,,60,note_on,,0.0,76.0,0.0,10383,43.2625,120,5.0_10.0,Electric Guitar (jazz)
8729,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,10383,43.2625,120,5.0_10.0,Electric Guitar (jazz)
8730,5.0,,,,,,,72.0,,,,60,note_on,,0.0,72.0,0.0,10443,43.5125,120,5.0_10.0,Electric Guitar (jazz)
8731,5.0,,,,,,,60.0,,,,0,note_on,,0.0,60.0,0.0,10443,43.5125,120,5.0_10.0,Electric Guitar (jazz)
8732,5.0,,,,,,,64.0,,,,0,note_on,,100.0,64.0,100.0,10443,43.5125,120,5.0_10.0,Electric Guitar (jazz)
8733,5.0,,,,,,,79.0,,,,0,note_on,,77.0,79.0,77.0,10443,43.5125,120,5.0_10.0,Electric Guitar (jazz)
8734,5.0,,,,,,,79.0,,,,60,note_on,,0.0,79.0,0.0,10503,43.7625,120,5.0_10.0,Electric Guitar (jazz)
8735,5.0,,,,,,,71.0,,,,0,note_on,,77.0,71.0,77.0,10503,43.7625,120,5.0_10.0,Electric Guitar (jazz)
8736,5.0,,,,,,,71.0,,,,60,note_on,,0.0,71.0,0.0,10563,44.0125,120,5.0_11.0,Electric Guitar (jazz)
8737,5.0,,,,,,,74.0,,,,0,note_on,,77.0,74.0,77.0,10563,44.0125,120,5.0_11.0,Electric Guitar (jazz)
8738,5.0,,,,,,,74.0,,,,60,note_on,,0.0,74.0,0.0,10623,44.2625,120,5.0_11.0,Electric Guitar (jazz)
8739,5.0,,,,,,,83.0,,,,0,note_on,,77.0,83.0,77.0,10623,44.2625,120,5.0_11.0,Electric Guitar (jazz)
8740,5.0,,,,,,,83.0,,,,60,note_on,,0.0,83.0,0.0,10683,44.5125,120,5.0_11.0,Electric Guitar (jazz)
8741,5.0,,,,,,,79.0,,,,0,note_on,,77.0,79.0,77.0,10683,44.5125,120,5.0_11.0,Electric Guitar (jazz)
8742,5.0,,,,,,,79.0,,,,60,note_on,,0.0,79.0,0.0,10743,44.7625,120,5.0_11.0,Electric Guitar (jazz)
8743,5.0,,,,,,,74.0,,,,0,note_on,,77.0,74.0,77.0,10743,44.7625,120,5.0_11.0,Electric Guitar (jazz)
8744,5.0,,,,,,,74.0,,,,60,note_on,,0.0,74.0,0.0,10803,45.0125,120,5.0_11.0,Electric Guitar (jazz)
8745,5.0,,,,,,,64.0,,,,0,note_on,,0.0,64.0,0.0,10803,45.0125,120,5.0_11.0,Electric Guitar (jazz)
8746,5.0,,,,,,,57.0,,,,0,note_on,,100.0,57.0,100.0,10803,45.0125,120,5.0_11.0,Electric Guitar (jazz)
