,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
458,2.0,,,,,,,69.0,,,,0,note_on,,105.0,69.0,105.0,6238,8.122395833333332,384,2.0_2.0,Acoustic Grand Piano
459,2.0,,,,,,,55.0,,,,14,note_on,,104.0,55.0,104.0,6252,8.140625,384,2.0_2.0,Acoustic Grand Piano
460,4.0,,,,,,,67.0,,,,0,note_off,,118.0,67.0,118.0,532,0.6927083333333333,384,4.0_0.0,Alto Sax
461,3.0,,,,,,,69.0,,,,4,note_on,,116.0,69.0,116.0,1568,2.0416666666666665,384,3.0_0.0,Trumpet
462,9.0,,,,,,,39.0,,,,8,note_on,,90.0,39.0,90.0,3622,4.716145833333333,384,9.0_1.0,Violin
463,9.0,,,,,,,39.0,,,,4,note_off,,90.0,39.0,90.0,3626,4.721354166666666,384,9.0_1.0,Violin
464,2.0,,,,,,,52.0,,,,12,note_off,,102.0,52.0,102.0,6264,8.15625,384,2.0_2.0,Acoustic Grand Piano
465,4.0,,,,,,,65.0,,,,12,note_on,,116.0,65.0,116.0,544,0.7083333333333333,384,4.0_0.0,Alto Sax
466,2.0,,,,,,,50.0,,,,38,note_off,,96.0,50.0,96.0,6302,8.205729166666666,384,2.0_2.0,Acoustic Grand Piano
467,2.0,,,,,,,55.0,,,,2,note_off,,104.0,55.0,104.0,6304,8.208333333333332,384,2.0_2.0,Acoustic Grand Piano
468,2.0,,,,,,,60.0,,,,14,note_off,,102.0,60.0,102.0,6318,8.2265625,384,2.0_2.0,Acoustic Grand Piano
469,2.0,,,,,,,65.0,,,,0,note_off,,106.0,65.0,106.0,6318,8.2265625,384,2.0_2.0,Acoustic Grand Piano
470,2.0,,,,,,,69.0,,,,14,note_off,,105.0,69.0,105.0,6332,8.244791666666666,384,2.0_2.0,Acoustic Grand Piano
471,3.0,,,,,,,69.0,,,,86,note_off,,116.0,69.0,116.0,1654,2.153645833333333,384,3.0_0.0,Trumpet
472,4.0,,,,,,,65.0,,,,12,note_off,,116.0,65.0,116.0,556,0.7239583333333333,384,4.0_0.0,Alto Sax
473,1.0,,,,,,,50.0,,,,52,note_off,,101.0,50.0,101.0,3756,4.890625,384,1.0_1.0,Acoustic Bass
474,2.0,,,,,,,38.0,,,,88,note_on,,109.0,38.0,109.0,6420,8.359375,384,2.0_2.0,Acoustic Grand Piano
475,1.0,,,,,,,38.0,,,,26,note_on,,125.0,38.0,125.0,3782,4.924479166666666,384,1.0_1.0,Acoustic Bass
