     ,channel ,clocks_per_click ,control ,denominator ,name                                     ,notated_32nd_notes_per_beat ,note ,numerator ,pitch  ,program ,tempo    ,time   ,type           ,value ,velocity ,note_midi_value ,note_velocity ,note_time ,note_seconds           ,tpb ,channel_chunk ,instrument
65   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,45.0            ,80.0          ,48480     ,50.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
66   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,48480     ,50.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
67   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,48480     ,50.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
68   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,48480     ,50.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
69   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,48480     ,50.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
70   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,52.0            ,80.0          ,48720     ,50.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
71   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,45.0            ,80.0          ,48720     ,50.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
72   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,48720     ,50.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
73   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,48720     ,50.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
74   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,48720     ,50.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
75   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,48720     ,50.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
76   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,52.0            ,80.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
77   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,45.0            ,80.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
78   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
79   ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,57.0            ,95.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
80   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
81   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
82   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,48960     ,51.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
83   ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,57.0            ,80.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
84   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,52.0            ,80.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
85   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,45.0            ,80.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
86   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
87   ,0.0     ,                 ,        ,            ,                                         ,                            ,61.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,61.0            ,95.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
88   ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,57.0            ,95.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
89   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
90   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
91   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,49200     ,51.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
92   ,0.0     ,                 ,        ,            ,                                         ,                            ,61.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,61.0            ,80.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
93   ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,57.0            ,80.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
94   ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,52.0            ,80.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
95   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,45.0            ,80.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
96   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
97   ,0.0     ,                 ,        ,            ,                                         ,                            ,64.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,64.0            ,95.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
98   ,0.0     ,                 ,        ,            ,                                         ,                            ,61.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,61.0            ,95.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
99   ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,57.0            ,95.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
100  ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
101  ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
102  ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,49440     ,51.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
103  ,0.0     ,                 ,        ,            ,                                         ,                            ,64.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,64.0            ,80.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
104  ,0.0     ,                 ,        ,            ,                                         ,                            ,61.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,61.0            ,80.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
105  ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,57.0            ,80.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
106  ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,52.0            ,80.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
107  ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,45.0            ,80.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
108  ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
109  ,0.0     ,                 ,        ,            ,                                         ,                            ,64.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,64.0            ,95.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
110  ,0.0     ,                 ,        ,            ,                                         ,                            ,61.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,61.0            ,95.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
111  ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,57.0            ,95.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
112  ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
113  ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
114  ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,49680     ,51.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
115  ,0.0     ,                 ,        ,            ,                                         ,                            ,57.0 ,          ,       ,        ,         ,210    ,note_on        ,      ,95.0     ,57.0            ,95.0          ,49890     ,51.96875               ,480 ,0.0_12.0      ,Overdriven Guitar
116  ,0.0     ,                 ,        ,            ,                                         ,                            ,52.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,52.0            ,95.0          ,49890     ,51.96875               ,480 ,0.0_12.0      ,Overdriven Guitar
