,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
95,5.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,5.0_0.0,Muted Trumpet
96,5.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,5.0_0.0,Muted Trumpet
97,5.0,,,,,,,,,,,,,,59.0,,,,,5,program_change,,,,,15,0.015625,480,5.0_0.0,Muted Trumpet
98,5.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,70.0,,,,20,0.020833333333333332,480,5.0_0.0,Muted Trumpet
99,5.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,80.0,,,,20,0.020833333333333332,480,5.0_0.0,Muted Trumpet
100,5.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,5.0_0.0,Muted Trumpet
101,5.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,5.0_0.0,Muted Trumpet
102,5.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,50.0,,,,25,0.026041666666666668,480,5.0_0.0,Muted Trumpet
103,6.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,6.0_0.0,Trombone
104,6.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,6.0_0.0,Trombone
105,6.0,,,,,,,,,,,,,,57.0,,,,,5,program_change,,,,,15,0.015625,480,6.0_0.0,Trombone
106,6.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,100.0,,,,20,0.020833333333333332,480,6.0_0.0,Trombone
107,6.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,100.0,,,,20,0.020833333333333332,480,6.0_0.0,Trombone
108,6.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,6.0_0.0,Trombone
109,6.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,6.0_0.0,Trombone
110,6.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,60.0,,,,25,0.026041666666666668,480,6.0_0.0,Trombone
111,7.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,7.0_0.0,Tuba
112,7.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,7.0_0.0,Tuba
113,7.0,,,,,,,,,,,,,,58.0,,,,,5,program_change,,,,,15,0.015625,480,7.0_0.0,Tuba
114,7.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,110.0,,,,20,0.020833333333333332,480,7.0_0.0,Tuba
115,7.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,120.0,,,,20,0.020833333333333332,480,7.0_0.0,Tuba
116,7.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,7.0_0.0,Tuba
117,7.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,7.0_0.0,Tuba
118,7.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,0.0,,,,25,0.026041666666666668,480,7.0_0.0,Tuba
119,8.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,8.0_0.0,Tenor Sax
120,8.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,8.0_0.0,Tenor Sax
121,8.0,,,,,,,,,,,,,,66.0,,,,,5,program_change,,,,,15,0.015625,480,8.0_0.0,Tenor Sax
122,8.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,70.0,,,,20,0.020833333333333332,480,8.0_0.0,Tenor Sax
123,8.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,20,0.020833333333333332,480,8.0_0.0,Tenor Sax
124,8.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,8.0_0.0,Tenor Sax
125,8.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,8.0_0.0,Tenor Sax
126,8.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,25,0.026041666666666668,480,8.0_0.0,Tenor Sax
127,9.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,9.0_0.0,String Ensemble 1
128,9.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,9.0_0.0,String Ensemble 1
129,9.0,,,,,,,,,,,,,,48.0,,,,,5,program_change,,,,,15,0.015625,480,9.0_0.0,String Ensemble 1
130,9.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,110.0,,,,20,0.020833333333333332,480,9.0_0.0,String Ensemble 1
131,9.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,40.0,,,,20,0.020833333333333332,480,9.0_0.0,String Ensemble 1
132,9.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,9.0_0.0,String Ensemble 1
133,9.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,90.0,,,,25,0.026041666666666668,480,9.0_0.0,String Ensemble 1
134,9.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,80.0,,,,25,0.026041666666666668,480,9.0_0.0,String Ensemble 1
135,10.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,10.0_0.0,Orchestral Harp
136,10.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,10.0_0.0,Orchestral Harp
137,10.0,,,,,,,,,,,,,,46.0,,,,,5,program_change,,,,,15,0.015625,480,10.0_0.0,Orchestral Harp
138,10.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,20.0,,,,20,0.020833333333333332,480,10.0_0.0,Orchestral Harp
139,10.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,24.0,,,,20,0.020833333333333332,480,10.0_0.0,Orchestral Harp
140,10.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,10.0_0.0,Orchestral Harp
141,10.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,10.0_0.0,Orchestral Harp
142,10.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,0.0,,,,25,0.026041666666666668,480,10.0_0.0,Orchestral Harp
143,11.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,11.0_0.0,Pizzicato Strings
144,11.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,11.0_0.0,Pizzicato Strings
145,11.0,,,,,,,,,,,,,,45.0,,,,,5,program_change,,,,,15,0.015625,480,11.0_0.0,Pizzicato Strings
146,11.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,11.0_0.0,Pizzicato Strings
